linha,palavra_chave,score
43,alterar,0.4220811696924803
43,cadastro,0.4762934822945508
43,cliente,0.36749151094435567
43,cpf,0.33536327537819577
43,numero,0.589468801401907
44,base,0.4020346908948377
44,consta,0.39637259184590246
44,cpf,0.24546065522000035
44,erro,0.42275745877277876
44,margens,0.45334204660737354
44,mensagem,0.48658304771050365
45,alterar,0.782947155999778
45,cpf,0.6220882179497207
46,bloqueio,0.3399536492215624
46,cnpj,0.3257364634394253
46,conta,0.2368808617164752
46,corrente,0.31119957921925795
46,cpf,0.20440401665184257
46,desbloquear,0.367634640038271
46,federal,0.3347889118059801
46,irregularidade,0.35204551444398124
46,junto,0.3399536492215624
46,receita,0.31119957921925795
47,alterar,0.3651154190970217
47,carta,0.5217671094496158
47,cnpf,0.6062587384236185
47,cpf,0.2901013161252176
47,credito,0.3778113056826352
48,alterar,0.556025620298344
48,cnpj,0.7040301848766778
48,cpf,0.4417884203488734
49,carta,0.5318322456373
49,cnpj,0.47122097857510853
49,cpf,0.29569750876010176
49,credito,0.38509946581398924
49,transferir,0.5092805087512711
50,carta,0.5318322456373
50,cnpj,0.47122097857510853
50,cpf,0.29569750876010176
50,credito,0.38509946581398924
50,transferir,0.5092805087512711
51,base,0.5467831028623192
51,consta,0.5390824238990194
51,cpf,0.33383621297226984
51,dados,0.5467831028623192
52,consta,0.4127183805205919
52,cpf,0.2555830705451668
52,erro,0.4401913182875534
52,margem,0.5341219129259864
52,solucionar,0.5341219129259864
53,cadastro,0.525386637647942
53,cliente,0.4053700847827576
53,cpf,0.3699302849846428
53,errado,0.6502273137875639
54,cadastro,0.525386637647942
54,cliente,0.4053700847827576
54,cpf,0.3699302849846428
54,errado,0.6502273137875639
55,carro,0.3935482587213709
55,comprar,0.502139825635793
55,consorcio,0.4321587941854148
55,cpf,0.24027929836459375
55,empresa,0.28875267740761984
55,pode,0.3493951437937074
55,socio,0.37818636111944176
56,alienando,0.6173002257522997
56,carro,0.4838043440301261
56,cpf,0.2953847863715337
56,outro,0.5455470795119176
57,alterar,0.40974276703210855
57,cadastro,0.4623703291405202
57,cliente,0.3567488894727477
57,cpf,0.32555983607259475
57,pertence,0.6205365151155127
58,cadastro,0.5601670185497215
58,cpf,0.39441951881150566
58,outro,0.7284546344897646
59,cpf,0.35258259002145503
59,outro,0.6511858807481542
59,vinculado,0.6720435000266077
60,cliente,0.3804847936720787
60,cpf,0.3472206101021642
60,dados,0.5687051170364766
60,outro,0.6412828233791422
61,cadastro,0.4068192964374934
61,cliente,0.6277752834613778
61,cpf,0.28644576676352274
61,outo,0.5986193082622269
62,alterar,0.46210535172533573
62,cliente,0.4023391852442595
62,cpf,0.3671643642319132
62,pertence,0.6998372336207642
63,alterar,0.40974276703210855
63,cadastro,0.4623703291405202
63,cliente,0.3567488894727477
63,cpf,0.32555983607259475
63,pertence,0.6205365151155127
64,alterar,0.43399045709668266
64,cpf,0.34482576249697316
64,documento,0.5938942147039785
64,principal,0.583127034537534
65,alterar,0.38976042364965063
65,cadastro,0.4398214437662435
65,cpf,0.30968292753541604
65,documento,0.5333676281147626
65,principal,0.523697782535069
66,cliente,0.29443846856967015
66,conta,0.31138901667513996
66,cpf,0.2686969529258486
66,excluir,0.46277738848659694
66,marido,0.532644965638192
66,vinculo,0.49625723701989044
67,cpf,0.368170535165754
67,excluir,0.6341009710993629
67,vinculo,0.6799753050564462
68,cpf,0.2973900540993609
68,excluir,0.512195583535218
68,marido,0.5895240471543723
68,vinculo,0.5492506147074631
69,cpf,0.3884910067210492
69,regularizar,0.6569683397589388
69,suspenso,0.6461171242516709
70,cpf,0.5152959888776749
70,suspenso,0.8570122775354967
71,cpf,0.4054209724713531
71,receita,0.6172424500573538
71,suspenso,0.6742741229852867
72,atrelado,0.5879871273032627
72,cancelar,0.2923713790370391
72,cliente,0.34886348527933575
72,cpf,0.3183638195681917
72,nome,0.5879871273032627
73,alteracao,0.4340455223310246
73,beneficio,0.5868186007360037
73,cpf,0.30786998477341804
73,inss,0.6102986865873481
74,cpf,0.35587545037130247
74,divida,0.7054611709229519
74,excluir,0.6129251178920966
75,cpf,0.33597111244629135
75,divida,0.6660042836204589
75,tirar,0.6660042836204589
76,cpf,0.5152959888776749
76,suspenso,0.8570122775354967
77,bloqueio,0.8570122775354967
77,cpf,0.5152959888776749
